avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
,,1998-04-07,,,,,,"190cm, 86kg",,,강이준,36,,,투수,,,,,,KIA,,
,기록이 없습니다.,1999-04-16,,,,,,"178cm, 68kg",,,고명성,,,,내야수,,,,,,KIA,,
0.250,4,1989-01-11,,8,,,1,"184cm, 83kg",,,고종욱,57,0.333,0.739,외야수,3,4,0,6,,KIA,,
,34,2004-04-12,3.56,,43,16,4,"185cm, 90kg",55 2/3,2,곽도규,0,,,투수,,,,64,2,KIA,4,1.38
,14,1988-02-02,7.86,,48,0,5,"183cm, 86kg",34 1/3,1,김건국,43,,,투수,,,,20,0,KIA,0,1.81
0.250,2,1997-03-08,,3,,,0,"183cm, 73kg",,,김규성,14,0.357,0.690,내야수,5,2,1,4,,KIA,,
,15,2000-01-03,5.03,,16,0,1,"184cm, 93kg",19 2/3,0,김기훈,53,,,투수,,,,17,0,KIA,1,1.58
,12,1991-05-08,8.28,,35,8,4,"187cm, 92kg",25,0,김대유,69,,,투수,,,,26,0,KIA,0,1.88
0.347,66,2003-10-02,,189,,,38,"183cm, 85kg",,,김도영,5,0.420,1.067,내야수,143,109,40,110,,KIA,,
,31,2000-09-15,4.92,,87,3,9,"183cm, 87kg",75,6,김도현,60,,,투수,,,,59,0,KIA,4,1.57
0.400,0,2003-04-25,,2,,,0,"177cm, 76kg",,,김두현,12,0.500,0.900,내야수,2,0,0,0,,KIA,,
,1,2003-07-08,15.75,,9,0,3,"188cm, 85kg",4,0,김민재,28,,,투수,,,,3,0,KIA,0,2.50
,1,2002-09-08,9.00,,3,0,0,"182cm, 85kg",1,0,김민주,45,,,투수,,,,2,0,KIA,0,4.00
,25,1994-06-08,4.62,,40,0,2,"182cm, 90kg",37,1,김사윤,21,,,투수,,,,36,1,KIA,0,1.76
,기록이 없습니다.,1999-02-28,,,,,,"187cm, 97kg",,,김석환,35,,,외야수,,,,,,KIA,,
0.329,30,1989-12-18,,139,,,9,"165cm, 77kg",,,김선빈,3,0.380,0.827,내야수,48,57,5,39,,KIA,,
,7,1992-07-09,4.00,,23,0,3,"180cm, 105kg",18,0,김승현,24,,,투수,,,,11,0,KIA,1,1.67
,,1999-06-14,,,,,,"187cm, 100kg",,,김유신,49,,,투수,,,,,,KIA,,
,,2003-09-13,,,,,,"184cm, 85kg",,,김찬민,38,,,투수,,,,,,KIA,,
0.264,12,1989-12-30,,62,,,7,"182cm, 92kg",,,김태군,42,0.328,0.711,포수,24,34,0,24,,KIA,,
,5,2000-07-10,18.00,,7,0,0,"185cm, 90kg",5,0,김현수,32,,,투수,,,,4,0,KIA,0,2.40
0.136,8,1992-04-30,,8,,,1,"178cm, 85kg",,,김호령,27,0.239,0.459,외야수,12,4,3,25,,KIA,,
0.291,38,1989-10-03,,109,,,21,"183cm, 100kg",,,나성범,47,0.357,0.868,외야수,51,80,0,98,,KIA,,
,35,1993-02-08,2.53,,154,0,11,"193cm, 83kg",149 1/3,5,네일,40,,,투수,,,,138,0,KIA,12,1.27
,12,1995-06-03,4.93,,35,0,3,"190cm, 94kg",34 2/3,2,라우어,66,,,투수,,,,37,0,KIA,2,1.36
0.276,1,2001-06-05,,8,,,0,"184cm, 84kg",,,박민,37,0.300,0.714,내야수,5,2,0,7,,KIA,,
0.308,4,1998-02-01,,20,,,0,"175cm, 68kg",,,박정우,15,0.348,0.733,외야수,17,11,0,14,,KIA,,
,3,1992-06-26,6.00,,10,1,0,"181cm, 93kg",6,0,박준표,31,,,투수,,,,4,0,KIA,0,2.17
0.307,48,1995-06-05,,158,,,5,"178cm, 72kg",,,박찬호,1,0.363,0.749,내야수,86,61,20,44,,KIA,,
0.304,16,2000-03-18,,51,,,5,"185cm, 95kg",,,변우혁,29,0.369,0.839,내야수,22,21,1,48,,KIA,,
